model,H,acc_mean,acc_std
linear,,0.9733333333333334,0.03265986323710903
mlp,1,0.9666666666666666,0.04216370213557838
mlp,2,0.9800000000000001,0.02666666666666666
mlp,4,0.96,0.05333333333333332
mlp,8,0.9666666666666666,0.036514837167011066
mlp,16,0.9666666666666666,0.04216370213557838
mlp,32,0.9333333333333333,0.036514837167011066
mlp,64,0.9466666666666667,0.04521553322083511
